"","cust_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",29568,NA,NA,NA,NA,NA,NA,NA,NA,5.07838616131192e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",29909,NA,NA,NA,NA,NA,NA,3.87781362330113e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",39856,NA,NA,NA,NA,0.223847543821623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",139662,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",169587,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",299749,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",499639,0.0213744974068797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",509554,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",579923,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",619631,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",769883,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",859909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",919926,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",949967,NA,NA,NA,NA,NA,NA,1.7698532717139e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",989587,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1239874,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1249787,NA,0.00651260986770444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1309709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1369576,0.108934615800858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1499624,NA,0.000489279847899702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1519567,NA,NA,NA,NA,4.32150644179504e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1529898,NA,NA,NA,NA,NA,NA,NA,NA,0.0618740181822567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1549549,0.715075157067035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1609678,NA,NA,NA,NA,0.00613624710797347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1659549,0.399580376423384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1839965,NA,NA,NA,NA,0.00270892233567511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1919647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1999549,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2009974,NA,NA,NA,NA,0.115073546483176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2029760,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2049833,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2089964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2129768,1.2720165196458e-291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2159905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2239835,NA,NA,NA,NA,NA,NA,NA,NA,0.91402530858174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2369804,NA,NA,NA,NA,0.177599509019374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2389788,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2389823,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2409947,0.138932253191782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2499933,NA,NA,NA,NA,NA,NA,0.605219483428384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2559894,NA,NA,NA,NA,NA,NA,NA,NA,2.380553272455e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2589576,NA,NA,NA,NA,NA,NA,NA,NA,0.00013573575366315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2619622,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2759923,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2769672,0.70765015706484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2779946,NA,NA,NA,NA,NA,NA,NA,NA,0.0143425162255973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2869574,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2969905,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3029520,NA,NA,NA,NA,NA,NA,NA,NA,0.00220965399261076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3029934,0.00494516091569035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",3189822,NA,NA,NA,NA,NA,NA,NA,NA,0.0148340441852259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3189829,NA,NA,NA,NA,NA,NA,0.010349654875822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",3259553,NA,NA,NA,NA,0.148379690110205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3389774,NA,NA,NA,NA,NA,NA,0.167327967616207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",3409674,0.0504351678168747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",3489829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3509800,NA,NA,NA,NA,NA,NA,NA,NA,8.94119524257746e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",3519981,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",3519993,NA,NA,NA,NA,NA,NA,0.365208939409694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",3639760,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",3679801,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
