"X1","X2","X3","X4","X5","cus_id"
3,3,2,3,1,"109693"
5,4,5,5,5,"169587"
7,6,6,7,7,"189709"
5,3,5,6,6,"299749"
2,2,2,2,2,"339665"
3,3,3,3,3,"339918"
1,1,1,1,1,"349530"
1,1,1,1,1,"369985"
3,2,3,3,2,"389613"
9,5,7,7,8,"499639"
4,3,8,4,5,"529915"
7,9,7,7,5,"589766"
2,2,4,3,3,"749556"
5,5,6,5,7,"819895"
6,5,6,6,6,"869947"
5,6,4,6,6,"899987"
5,2,2,2,2,"909794"
3,4,4,4,4,"949967"
8,7,7,7,7,"969825"
7,8,7,12,7,"969975"
3,3,3,3,3,"1039647"
3,3,3,3,3,"1049570"
2,2,2,2,2,"1069886"
2,3,3,3,3,"1109884"
4,3,6,7,8,"1129755"
2,2,2,2,2,"1139567"
6,6,6,8,8,"1139738"
3,7,6,7,9,"1219886"
39,38,39,44,44,"1249927"
1,1,1,1,1,"1289567"
8,9,10,8,5,"1369925"
4,5,4,5,5,"1409661"
6,6,5,6,5,"1429948"
6,5,5,5,5,"1499909"
3,2,2,4,1,"1529898"
2,2,2,2,2,"1579841"
5,4,4,4,4,"1609678"
4,3,3,3,3,"1659549"
4,4,4,4,4,"1710000"
2,1,1,1,1,"1879807"
5,5,5,4,5,"1889991"
3,4,6,5,6,"1899550"
1,1,1,2,1,"1999671"
1,1,1,1,1,"2009681"
2,2,2,2,2,"2039621"
2,2,2,1,2,"2059893"
1,2,2,1,2,"2239835"
3,3,3,2,3,"2249699"
2,2,2,2,1,"2259776"
3,4,4,3,3,"2259992"
3,2,2,2,2,"2269804"
4,3,4,3,1,"2339637"
6,2,2,1,1,"2409947"
9,32,13,4,4,"2639965"
1,2,1,1,1,"2689758"
5,5,5,6,4,"2809951"
7,6,7,7,6,"2839651"
3,3,3,2,3,"2969905"
3,2,2,2,2,"3169944"
3,2,4,4,2,"3179779"
4,3,5,4,6,"3189829"
3,3,3,3,3,"3229801"
3,3,3,3,3,"3299585"
2,2,3,2,2,"3349948"
4,4,3,3,3,"3369877"
5,6,5,5,6,"3389801"
6,5,6,6,6,"3409828"
5,5,5,4,5,"3419797"
3,3,2,3,3,"3489804"
4,4,4,5,5,"3489945"
4,2,3,4,3,"3509691"
3,3,4,3,3,"3509800"
3,1,3,1,3,"3519981"
6,6,6,5,6,"3529748"
6,4,3,2,6,"3629797"
2,2,2,2,2,"3689897"
2,2,3,6,4,"3709783"
4,6,6,6,5,"3709984"
4,4,4,4,4,"3759797"
2,4,3,3,4,"3849717"
2,1,1,2,2,"3869942"
2,3,2,2,2,"3989575"
3,3,3,4,3,"4019679"
4,3,4,3,3,"4029695"
5,4,4,4,4,"4069735"
9,8,7,6,8,"4239950"
2,3,5,5,4,"4309605"
3,4,3,3,3,"4319967"
8,5,2,1,2,"4369928"
3,2,2,2,2,"4369949"
3,4,4,4,4,"4419627"
2,2,2,2,2,"4459951"
10,19,11,18,5,"4509747"
4,3,4,3,4,"4529875"
6,6,5,5,4,"4559994"
4,4,4,4,4,"4569688"
3,2,3,3,2,"4589586"
5,5,4,6,5,"4589591"
9,8,9,9,8,"4609812"
6,5,6,6,7,"4669939"
2,4,4,4,4,"4679726"
4,4,4,5,4,"4689635"
9,11,11,11,11,"4719570"
4,5,2,2,3,"4779570"
4,4,4,7,5,"4899809"
3,3,3,3,3,"5009580"
2,2,2,2,2,"5119801"
3,3,3,3,4,"5139925"
5,6,5,5,5,"5149765"
3,3,3,3,3,"5149889"
6,4,4,4,4,"5189621"
1,1,1,1,1,"5199595"
3,3,4,3,3,"5209899"
4,4,5,4,4,"5239934"
2,2,2,2,1,"5389896"
1,2,4,1,5,"5639825"
5,4,4,4,4,"5649867"
3,3,4,4,4,"5649957"
3,2,3,3,2,"5729916"
2,3,2,6,10,"5959780"
2,5,4,3,4,"5989664"
5,5,5,5,6,"6039822"
2,2,2,2,2,"6079731"
4,4,5,2,2,"6369940"
1,1,1,1,1,"6409834"
2,1,1,2,2,"6419582"
4,1,3,3,4,"6599812"
1,1,2,1,1,"6619659"
4,4,4,4,4,"6659815"
3,3,3,3,3,"6679813"
2,2,2,2,2,"6729743"
4,4,4,5,4,"6739641"
2,2,3,3,3,"6789802"
2,2,2,2,3,"6799676"
2,2,2,2,1,"6809659"
3,3,3,3,3,"6839952"
1,2,2,2,2,"6859923"
2,2,2,1,2,"6899618"
2,2,2,2,1,"7039904"
1,1,2,2,1,"7079973"
6,3,5,6,3,"7119898"
5,5,2,2,2,"7119955"
3,4,3,4,1,"7129976"
1,1,1,1,1,"7139796"
3,3,4,3,3,"7269949"
6,4,7,1,1,"7349772"
2,2,2,2,3,"7389730"
2,2,2,1,2,"7409778"
8,6,6,7,9,"7569890"
10,3,8,8,9,"7629630"
5,5,5,3,1,"7679874"
3,3,3,6,3,"7719577"
3,3,3,2,3,"7729784"
3,3,3,3,2,"7729819"
3,4,3,3,3,"7739787"
8,8,7,7,8,"7819901"
7,8,8,9,10,"7859980"
6,8,9,9,10,"7869549"
4,4,4,4,7,"7919932"
4,5,4,5,4,"7989981"
3,3,3,3,3,"8039647"
2,2,2,2,3,"8049900"
5,5,2,2,2,"8169802"
4,4,4,4,4,"8189540"
3,2,3,2,2,"8209651"
6,9,3,3,3,"8209801"
10,7,7,7,6,"8209843"
2,2,3,2,3,"8219704"
3,3,3,3,3,"8229636"
2,2,2,2,3,"8259629"
5,8,5,4,4,"8309990"
2,2,2,2,2,"8449971"
4,3,3,4,2,"8679834"
2,2,2,5,6,"8679838"
3,1,1,1,2,"8719935"
3,5,4,5,4,"8839585"
3,3,2,3,3,"8849964"
4,4,4,2,4,"8949893"
4,5,5,5,4,"9019561"
6,6,5,5,5,"9049946"
3,2,2,2,2,"9069852"
1,1,2,2,2,"9089753"
2,2,3,3,3,"9119670"
5,5,5,5,5,"9199746"
2,2,1,2,2,"9319844"
6,6,6,4,6,"9319932"
1,1,1,1,2,"9349783"
5,5,4,4,4,"9439971"
3,2,2,2,2,"9469815"
7,11,9,6,7,"9509843"
6,6,6,7,6,"9699987"
3,3,4,3,3,"9829989"
1,2,2,1,1,"9929819"
7,7,8,8,7,"9989829"
3,3,3,3,3,"10119835"
2,2,1,2,1,"10119936"
6,4,5,4,6,"10179820"
7,10,4,8,8,"10269678"
3,3,3,3,3,"10279567"
3,3,2,2,2,"10279748"
3,3,2,3,3,"10359835"
1,1,1,1,1,"10369846"
2,3,3,3,4,"10459935"
4,4,4,4,4,"10469726"
3,4,4,3,3,"10469873"
2,2,2,2,2,"10489785"
3,3,4,3,4,"10529754"
4,4,2,3,2,"10629613"
3,3,2,2,2,"10679950"
3,3,2,3,3,"10709970"
9,6,8,7,6,"10799927"
3,2,2,2,2,"10839858"
2,2,2,1,2,"10939624"
