cust_id,X1,X2,X3,X4,X5,revenue,avg_discount_rate,discount,profit,,total discount,total_profit
109693,0.00,6.50,0.00,0.00,0.00,6.50,0.17,1.09,5.41,,4442.45,12461.91
169587,0.00,8.52,0.00,0.00,0.00,8.52,0.20,1.66,6.86,,,
189709,0.00,0.00,0.00,14.91,0.00,14.91,0.31,4.68,10.24,,,
299749,0.00,0.00,0.00,12.78,0.00,12.78,0.23,2.99,9.80,,,
339665,4.26,0.00,0.00,0.00,0.00,4.26,0.37,1.58,2.68,,,
339918,6.39,0.00,0.00,0.00,0.00,6.39,0.30,1.92,4.47,,,
349530,2.17,0.00,2.13,0.00,0.00,4.30,0.20,0.86,3.44,,,
369985,0.00,2.13,0.00,0.00,0.00,2.13,0.23,0.49,1.64,,,
389613,0.00,0.00,0.00,6.39,0.00,6.39,0.23,1.46,4.93,,,
499639,0.00,10.65,0.00,0.00,0.00,10.65,0.23,2.45,8.20,,,
529915,0.00,0.00,0.00,8.67,0.00,8.67,0.30,2.59,6.07,,,
589766,0.00,0.00,0.00,14.91,0.00,14.91,0.37,5.58,9.33,,,
749556,4.26,0.00,0.00,0.00,0.00,4.26,0.35,1.51,2.75,,,
819895,10.65,0.00,0.00,0.00,0.00,10.65,0.39,4.16,6.50,,,
869947,0.00,10.65,0.00,0.00,0.00,10.65,0.38,4.00,6.65,,,
899987,10.83,0.00,0.00,0.00,0.00,10.83,0.44,4.73,6.10,,,
909794,0.00,0.00,4.26,0.00,0.00,4.26,0.26,1.10,3.16,,,
949967,0.00,8.67,0.00,0.00,0.00,8.67,0.40,3.46,5.21,,,
969825,0.00,0.00,14.91,0.00,0.00,14.91,0.27,3.96,10.95,,,
969975,0.00,0.00,0.00,25.57,0.00,25.57,0.32,8.11,17.46,,,
1039647,0.00,0.00,0.00,6.39,0.00,6.39,0.28,1.79,4.60,,,
1049570,0.00,0.00,0.00,6.39,0.00,6.39,0.29,1.87,4.53,,,
1069886,4.33,0.00,0.00,0.00,0.00,4.33,0.27,1.18,3.16,,,
1109884,0.00,6.39,0.00,0.00,0.00,6.39,0.31,1.98,4.41,,,
