"X1","X2","X3","X4","X5","cus_id"
"BALCONI","OREO","NUTELLA","DAN.CAKE","ARTIACH","109693"
"DELIPICK.","CHIPS.AHOY","VIEIRA..DE.CASTRO","FLORBÚ","LAMBERTZ","169587"
"LA.BURGALESA","DULCA","PROALIMENTAR","CHIPS.AHOY","BALCONI","189709"
"FRUTOP","DAILIDOCE","CARR.S","CHIPS.AHOY","LAMBERTZ","299749"
"CHIPS.AHOY","NACIONAL","FLORBÚ","CUETARA","DELIPICK.","339665"
"CHIPS.AHOY","CARR.S","TRIUNFO","BAHLSEN","SNAPPY","339918"
"OREO","NACIONAL","CHIPS.AHOY","FLORBÚ","BALCONI","349530"
"MCVITIES","CHIPS.AHOY","BAUDUCCO","BELVITA","INSULAR","369985"
"MCVITIES","CARR.S","MARILAN","CHIPS.AHOY","INSULAR","389613"
"DU.BOIS.DE.LA.ROCHE","CHIPS.AHOY","FLORBÚ","LAMBERTZ","INSULAR","499639"
"SABOROSA","DU.BOIS.DE.LA.ROCHE","FRUTOP","OREO","FILIPINOS","529915"
"TRIUNFO","LA.BURGALESA","CARR.S","CHIPS.AHOY","MARILAN","589766"
"CHIPS.AHOY","LAMBERTZ","DULCA","BELVITA","BALCONI","749556"
"CHIPS.AHOY","DAILIDOCE","LAMBERTZ","VIEIRA..DE.CASTRO","TUC","819895"
"MCVITIES","CHIPS.AHOY","INSULAR","DAILIDOCE","DU.BOIS.DE.LA.ROCHE","869947"
"OREO","DELIPICK.","TRIUNFO","DISNEY","DU.BOIS.DE.LA.ROCHE","899987"
"GRAN.PAVESI","FRUTOP","CHIPS.AHOY","LAMBERTZ","DAILIDOCE","909794"
"SABOROSA","OREO","MILKA","FILIPINOS","FRUTOP","949967"
"INSULAR","PROALIMENTAR","CHIPS.AHOY","FLORBÚ","TRIUNFO","969825"
"INSULAR","NACIONAL","LAMBERTZ","CHIPS.AHOY","GULLON","969975"
"FLORBÚ","DAN.CAKE","MARILAN","CHIPS.AHOY","DISNEY","1039647"
"NACIONAL","BALCONI","LAMBERTZ","CHIPS.AHOY","DELIPICK.","1049570"
"OREO","INSULAR","LAMBERTZ","FRUTOP","NUTELLA","1069886"
"FLORBÚ","CHIPS.AHOY","NUTELLA","CARR.S","SNAPPY","1109884"
"BELVITA","DU.BOIS.DE.LA.ROCHE","CHIPS.AHOY","INSULAR","LA.BURGALESA","1129755"
"DELIPICK.","DULCA","FILIPINOS","MARILAN","CHIPS.AHOY","1139567"
"NACIONAL","TRIUNFO","LAMBERTZ","OREO","FRUTOP","1139738"
"CHIPS.AHOY","OREO","GULLON","SABOROSA","MCVITIES","1219886"
"DISNEY","CHIPS.AHOY","DELIPICK.","FLORBÚ","FILIPINOS","1249927"
"BALCONI","NACIONAL","ARTIACH","OREO","DELIPICK.","1289567"
"OREO","FILIPINOS","SABOROSA","BAHLSEN","DISNEY","1369925"
"OREO","JACOBS","DU.BOIS.DE.LA.ROCHE","BAHLSEN","FRUTOP","1409661"
"CHIPS.AHOY","SABOROSA","FRUTOP","DELIPICK.","CARR.S","1429948"
"CHIPS.AHOY","NACIONAL","FILIPINOS","DELIPICK.","PROALIMENTAR","1499909"
"NACIONAL","MARILAN","PROALIMENTAR","CHIPS.AHOY","DAN.CAKE","1529898"
"SABOROSA","DISNEY","OREO","MILKA","DU.BOIS.DE.LA.ROCHE","1579841"
"DELIPICK.","CHIPS.AHOY","FLORBÚ","NACIONAL","CARR.S","1609678"
"MARILAN","BALCONI","NACIONAL","CUETARA","CHIPS.AHOY","1659549"
"FRUTOP","NACIONAL","BALCONI","OREO","TRIUNFO","1710000"
"FLORBÚ","FRUTOP","CHIPS.AHOY","NUTELLA","PROALIMENTAR","1879807"
"FRUTOP","CARR.S","BAUDUCCO","CHIPS.AHOY","DAILIDOCE","1889991"
"BALCONI","CUETARA","NACIONAL","CHIPS.AHOY","BELVITA","1899550"
"FLORBÚ","CHIPS.AHOY","BAHLSEN","DU.BOIS.DE.LA.ROCHE","SNAPPY","1999671"
"NACIONAL","BALCONI","CHIPS.AHOY","CARR.S","LA.BURGALESA","2009681"
"FLORBÚ","LAMBERTZ","CUETARA","CHIPS.AHOY","NACIONAL","2039621"
"MILKA","FRUTOP","LAMBERTZ","SABOROSA","CHIPS.AHOY","2059893"
"INSULAR","CHIPS.AHOY","DULCA","DAILIDOCE","FRUTOP","2239835"
"LAMBERTZ","BAUDUCCO","MILKA","SNAPPY","CHIPS.AHOY","2249699"
"CHIPS.AHOY","FLORBÚ","DU.BOIS.DE.LA.ROCHE","BELVITA","CARR.S","2259776"
"CARR.S","SNAPPY","CHIPS.AHOY","BAHLSEN","SABOROSA","2259992"
"CHIPS.AHOY","JACOBS","BAHLSEN","INSULAR","PROALIMENTAR","2269804"
"MARILAN","MCVITIES","CHIPS.AHOY","PROALIMENTAR","CARR.S","2339637"
"LAMBERTZ","FLORBÚ","CHIPS.AHOY","DU.BOIS.DE.LA.ROCHE","DISNEY","2409947"
"ARTIACH","SABOROSA","FLORBÚ","CHIPS.AHOY","FRUTOP","2639965"
"CARR.S","BAUDUCCO","FILIPINOS","VIEIRA..DE.CASTRO","CHIPS.AHOY","2689758"
"GULLON","INSULAR","OREO","NACIONAL","BALCONI","2809951"
"NACIONAL","CHIPS.AHOY","LAMBERTZ","OREO","NUTELLA","2839651"
"LAMBERTZ","FLORBÚ","CHIPS.AHOY","NUTELLA","CARR.S","2969905"
"OREO","SABOROSA","MILKA","FRUTOP","VIEIRA..DE.CASTRO","3169944"
"FLORBÚ","TRIUNFO","LAMBERTZ","INSULAR","CHIPS.AHOY","3179779"
"OREO","LAMBERTZ","NACIONAL","NUTELLA","BAUDUCCO","3189829"
"OREO","GULLON","NACIONAL","INSULAR","FRUTOP","3229801"
"LAMBERTZ","MILKA","FLORBÚ","CHIPS.AHOY","SABOROSA","3299585"
"CHIPS.AHOY","SNAPPY","CARR.S","NACIONAL","OREO","3349948"
"CHIPS.AHOY","OREO","NUTELLA","DISNEY","FLORBÚ","3369877"
"DISNEY","OREO","MILKA","INSULAR","GRAN.PAVESI","3389801"
"DELIPICK.","CARR.S","LAMBERTZ","FLORBÚ","CHIPS.AHOY","3409828"
"INSULAR","CARR.S","NACIONAL","OREO","PROALIMENTAR","3419797"
"FLORBÚ","NUTELLA","MILKA","CHIPS.AHOY","LAMBERTZ","3489804"
